topic,x,y,topics,cluster,Freq
40,4.584222,-2.2513034,1,1,3.7
161,1.4820975,3.002427,2,1,3.2393405618161237
98,-2.7163284,2.7139022,3,1,3.007072788852173
61,-1.6350056,4.8435254,4,1,2.9514708206232103
36,-0.8173159,0.799921,5,1,2.467626821746415
181,1.4441968,0.24380574,6,1,2.436982219247388
154,-2.0479562,-2.4842234,7,1,2.1124311437406647
189,-3.2007434,2.6077752,8,1,1.9631751614038984
112,1.4027438,0.19845091,9,1,1.8036689551568172
62,-0.55463463,4.6988177,10,1,1.7446796267421723
27,0.8703456,-0.8482767,11,1,1.7161536835929152
105,1.5068266,-2.9110935,12,1,1.6807484204247232
31,4.1057315,-1.0819573,13,1,1.667720856614449
165,0.30655053,-3.3871508,14,1,1.631456677983428
186,-2.5562084,2.204224,15,1,1.6214515274364683
39,-1.6757014,-1.5107323,16,1,1.5672157535057378
132,-1.3308963,0.2097098,17,1,1.56377536958156
4,-0.66110975,0.0018144214,18,1,1.560328836609733
149,0.71141124,4.3477073,19,1,1.5499520110236384
172,1.9420763,-3.7525516,20,1,1.5395186347231071
81,0.7012731,0.56774455,21,1,1.5290277729504054
148,-0.66186064,3.3674448,22,1,1.5220014553630996
17,-2.7200525,0.149055,23,1,1.4648196460793474
179,-1.7507792,4.5700407,24,1,1.4648196460793474
147,0.70710063,-0.99159133,25,1,1.4244472593590105
136,3.498305,-3.2304268,26,1,1.4207317713480885
109,1.7075893,-2.50693,27,1,1.3869377364711721
143,-0.6736372,2.5051112,28,1,1.3678784529420975
115,-3.127105,1.7709473,29,1,1.3563415649671857
118,1.7018359,-0.80243963,30,1,1.3408376466861525
110,-0.020801282,0.036238268,31,1,1.329116573542205
122,0.08072877,-1.9054742,32,1,1.329116573542205
166,-1.4337928,1.1833682,33,1,1.3054276466028347
24,-0.29697803,0.27946743,34,1,1.2733095338866514
52,0.7406664,-1.5407656,35,1,1.269250375674136
1,2.8204958,0.9415342,36,1,1.2611016532381665
170,-0.057814337,1.7076753,37,1,1.2611016532381665
75,-1.001824,-1.3710717,38,1,1.236406649059929
78,2.2957976,-3.5718822,39,1,1.2280898918390697
178,-0.55028963,-4.597336,40,1,1.2280898918390697
173,-0.038362395,-2.1782556,41,1,1.2197294762000501
190,2.5242405,-4.2005234,42,1,1.2155326800517126
127,-1.7451414,-0.9698639,43,1,1.2028748716250757
92,2.3122587,-0.19552968,44,1,1.194379236386788
133,-2.1080115,0.28329825,45,1,1.194379236386788
