term,Category,Freq,Term,Total,loglift,logprob
1394,Topic1,54.852306485422034,공공기관,433,0.9691707114910071,0.005237782653048569
6017,Topic1,49.430389927105644,연합뉴스,4688,0.6978372866079842,0.005142521398383092
2352,Topic1,53.51907274949137,노사,223,0.9855984602872856,0.005111559666922821
8006,Topic1,69.63281745648132,직원,943,0.94529263059445,0.0049620664816075796
4751,Topic1,32.778960487626954,성과평가,51,0.9974416372353918,0.004957374211395452
5242,Topic1,102.5513677594268,시작,4459,0.8361103906474621,0.004840852693608446
6153,Topic1,66.75890232141516,오전,5291,0.7347074174464486,0.004749181104620944
5230,Topic1,67.21619842225441,시스템,1087,0.9345748239962588,0.0047213325523079094
6090,Topic1,22.380341515404794,예금보험공사,42,0.9959712696183883,0.00444463283974381
8665,Topic2,81.94262390471883,코엑스,198,0.9984570926394513,0.048036884864144355
4481,Topic2,75.10968730670498,삼성동,140,0.9990582789037791,0.046791001696840924
929,Topic2,77.31947560878115,강남구,883,0.9887588200589953,0.03972759516620868
3274,Topic2,47.322557112988505,메디컬,74,0.999385309474141,0.03578245046857488
9545,Topic2,37.741574954385925,호스,46,0.9997613172106147,0.033809268245368146
4627,Topic2,150.13006698583078,서울,17110,0.8902702784492028,0.033341599239945806
8969,Topic2,39.62588006573658,페어,62,0.9993843312070976,0.0319156310088538
8653,Topic2,64.40929075158486,코리아,712,0.9891492073798377,0.02801896921651389
304,Topic2,49.19787096585553,2016,11149,0.8024655350806976,0.02641629861103345
2359,Topic2,34.43182586937909,노컷뉴스,620,0.9817828507445284,0.01941213427100203
8528,Topic2,20.760745799820565,취업박람회,72,0.9973144112613265,0.01796705275278398
8650,Topic2,29.540264829358954,코넥스,95,0.9975881034052494,0.01781255407084648
8660,Topic2,34.41851193331295,코스닥,310,0.9913397973291805,0.01747417427785205
6017,Topic2,38.85147973109618,연합뉴스,4688,0.8845166363269594,0.01703385708663189
2430,Topic2,32.84611633789968,뉴스1,5964,0.835410331505476,0.01469711354172385
337,Topic2,95.0325028713247,20일,20858,0.8075083690525753,0.014658501258868403
1638,Topic2,17.942001057106637,구직자들,64,0.9972070247948109,0.014019967573721622
4537,Topic2,27.06808067799293,상장기업,97,0.9971891149975829,0.013976979212961392
1985,Topic2,103.62646542395414,기자,27189,0.7781040468925052,0.013634211723539104
9463,Topic2,24.226309563287497,헬스케어,79,0.9975392793731843,0.013181258733536962
4313,Topic2,25.860496275037143,빌딩,93,0.9971753777120431,0.012940529839950936
8265,Topic2,16.915339773264908,청담동,69,0.9966517328706348,0.012806171967786727
6170,Topic2,46.14042395172711,오후,7695,0.8468344221764126,0.011853530118350513
2695,Topic2,29.151540453830798,더블,225,0.9927233006801284,0.011473413859525394
4359,Topic2,23.975958631139903,사무실,249,0.9898637821168544,0.01066528832574411
4902,Topic2,29.91122854307052,소유,311,0.989850921737304,0.010469504752040235
8187,Topic2,20.164452853982493,창조,131,0.9940386658150622,0.010197793126223223
8395,Topic2,36.39149041124466,최순실씨,520,0.9857080996205914,0.01006209226138424
6560,Topic2,23.39367218198201,융합,222,0.9908222128902081,0.009601270335680426
7791,Topic2,19.930542036102477,주최,483,0.9752769220121286,0.009589887322770517
6612,Topic2,16.63764429334494,의료기기,142,0.9918460668161558,0.008655481091933613
9465,Topic2,25.129899942914907,혁신,486,0.9803830656666974,0.00848620633850411
187,Topic2,18.815797609715567,180,216,0.9886952877365878,0.008482333966472693
2233,Topic2,11.061538357316314,남대문시장,176,0.9839916929590267,0.008052423402480986
9666,Topic2,29.894219375926827,회사,1793,0.9395418511176428,0.007835354416568975
3721,Topic2,29.92421723675889,받고,2326,0.9227505665270995,0.007758625697357257
