term,Topic,Freq,Term
6017,2,0.008287431683254303,연합뉴스
2430,2,0.005507397105616982,뉴스1
337,2,0.004556165637708539,20일
1638,2,0.2803437665172912,구직자들
4537,2,0.2790523781236385,상장기업
1985,2,0.003811337872814526,기자
9463,2,0.3066621463707278,헬스케어
4313,2,0.27806985241975424,빌딩
8265,2,0.24514985178644794,청담동
6170,2,0.005996156458963887,오후
2695,2,0.12956240201702576,더블
4359,2,0.09628899048650563,사무실
4902,2,0.0961775837397766,소유
8187,2,0.15392712102276712,창조
8395,2,0.06998363540623974,최순실씨
6560,2,0.10537690172063968,융합
7791,2,0.04126406218654757,주최
6612,2,0.11716650910806296,의료기기
9465,2,0.05170761305126524,혁신
187,2,0.08711017411905354,180
2233,2,0.06284964975747906,남대문시장
9666,2,0.016672738079156067,회사
3721,2,0.012865097694221362,받고
3539,2,0.01835757458691026,미래
8152,2,0.015264859696314024,참가
1406,2,0.018767937181170515,공동
6153,2,0.004282527679383398,오전
1890,2,0.002375237221110087,금지
7204,2,0.002370128876935412,재배포
5837,2,0.019271274782669087,업체
3424,2,0.002257878763332555,무단
353,2,0.010226440524159412,22일
7780,2,0.014001573850434778,주제
1851,2,0.008588332917585281,글로벌
9457,2,0.011759357821175986,헤럴드경제
7249,2,0.003396931790543004,저작권자
2681,2,0.0036399889359518974,대한
8908,3,0.6030891748290246,파업
8652,3,0.8198483136720673,코레일
2356,3,0.30427721419060555,노조
8240,3,0.6926257580868248,철도노조
6327,3,0.35709566389014447,운행
8239,3,0.40464783995915204,철도
4096,3,0.057046265164507004,부산
6328,3,0.9529785328920121,운행률
8838,3,0.16448289572498348,투입
1694,3,0.4604392592350695,국비
9591,3,0.8584991998970101,화물연대
4749,3,0.1169861333150727,성과연봉제
9564,3,0.5463748185836326,혼잡
6036,3,0.16194539334684316,열차
8405,3,0.29085320846819285,최장기
2352,3,0.28139801500470735,노사
2726,3,0.14726432527277294,도로
3510,3,0.18071367847786413,물류
1278,3,0.02982287594060634,계획
2657,3,0.9728427237123699,대체인력
9592,3,0.979690162193976,화물열차
1561,3,0.3650065973466542,교섭
7483,3,0.026211028783522418,정부
313,3,0.17518150858824574,2020년
9590,3,0.32901976081907053,화물
1716,3,0.2332555323461077,국토부
5595,3,0.04832004813180234,안전
8839,3,0.030093463762725804,투자
8203,3,0.0711929018328175,채용
5050,3,0.037255166358732196,수준
6314,3,0.3906852213474556,운송
4013,3,0.06659327907573805,복귀
1328,3,0.19188941555383404,고속도로
3838,3,0.1915692208850481,배추
1715,3,0.17879831985215555,국토교통부
8241,3,0.1266496242599841,철도파업
5930,3,0.0963753891949026,역대
8135,3,0.23302291857366741,차질
6017,3,0.007293519212778732,연합뉴스
6816,3,0.07765222927418623,인력
415,3,0.08696543999129658,2차
7668,3,0.06467026247631347,조정
1465,3,0.08390028164172549,공항
365,3,0.11623439871911505,24일째
1587,3,0.08676725048897235,교통
2787,3,0.13690841594955933,돌입
8248,3,0.1683959073513106,철회
337,3,0.0041284097548569074,20일
7556,3,0.11885822873192015,제4
7679,3,0.2414767231620817,조합원
9594,4,0.7101351037264174,화보
91,4,0.8002452346839496,11월호
3227,4,0.14269747596297333,매력
6861,4,0.14446185233557185,인터뷰
8950,4,0.1340780450296043,패션
831,4,0.11328592365920505,가을
4923,4,0.3164928292502059,소화
8368,4,0.08357473211610336,촬영
1387,4,0.04222821599908148,공개
3829,4,0.03633226270243618,배우
